multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgATMIN_4	sgARMC10_4	NA	NA	NA	sgHIST1H4D_3
sgATP12A_2	sgARMC1_2	NA	NA	NA	sgHKR1_2
sgATP1B1_3	sgARMC3_2	NA	NA	NA	sgHLA-A_3
sgATP1B3_4	sgARMC8_4	NA	NA	NA	sgHLA-B_1
sgATP5C1_2	sgARPC1A_2	NA	NA	NA	sgHLA-DQA1_2
sgATP5C1_4	sgARPC1A_4	NA	NA	NA	sgHLA-DQA1_3
sgATP5E_1	sgARPC1B_4	NA	NA	NA	sgHLA-DQA1_4
sgATP5E_3	sgARPC3_1	NA	NA	NA	sgHLA-DQB1_3
sgATP5E_4	sgARPC3_3	NA	NA	NA	sgHLA-DQB1_4
sgATP5F1_2	sgARPC3_4	NA	NA	NA	sgHNRNPR_4
sgATP5G2_2	sgARPC5L_2	NA	NA	NA	sgHP_5
sgATP5G2_4	sgARRB1_2	NA	NA	NA	sgHRASLS5_4
sgATP5G3_3	sgARSB_4	NA	NA	NA	sgHRASLS_1
sgATP5H_1	sgARV1_1	NA	NA	NA	sgHRASLS_2
sgATP5H_2	sgARVCF_2	NA	NA	NA	sgHRASLS_3
sgATP5J2_1	sgARVCF_4	NA	NA	NA	sgHRASLS_4
sgATP5J2_2	sgASAH1_4	NA	NA	NA	sgHTR3D_1
sgATP5J2_3	sgASAH2B_2	NA	NA	NA	sgIFRD2_2
sgATP5J_1	sgASB4_1	NA	NA	NA	sgIFRD2_3
sgATP5J_3	sgASB7_3	NA	NA	NA	sgIKBKE_2
sgATP6V0C_1	sgASCL3_1	NA	NA	NA	sgIL15_3
